[AIBridge] Gem shortlist: 10 supports tested, 10 with gain, 2815.0 ms
[AIBridge] Reference menu: 858 gems, 1313 uniques, 570 config keys
[AIBridge] Gem shortlist: 10 supports tested, 10 with gain, 5680.0 ms
[AIBridge] Reference menu: 858 gems, 1313 uniques, 570 config keys
[AIBridge] Gem shortlist: 10 supports tested, 10 with gain, 4014.0 ms
[AIBridge] Reference menu: 858 gems, 1313 uniques, 570 config keys
[AIBridge] Reference menu: 858 gems, 1313 uniques, 570 config keys
[AIBridge] Gem shortlist: 10 supports tested, 10 with gain, 2561.0 ms
[AIBridge] Reference menu: 858 gems, 1313 uniques, 570 config keys
[AIBridge] Gem shortlist: 9 supports tested, 9 with gain, 5502.0 ms
[AIBridge] Reference menu: 858 gems, 1313 uniques, 570 config keys
